http://www.58pic.com/,58 pics,,16486.71
https://www.amazon.com/Google-Wifi-system-single-point/dp/B01MDJ0HVG,Amazon product listing,,20018.896
http://www.booking.com/,Booking.com,,6335.023
https://www.crunchbase.com/#/home/index,Crunchbase,,22395.906
http://www.dawn.com/,Dawn.com,,10694.466
https://www.doubleclickbygoogle.com/,Doubleclick landing page,,13757.979
http://m.ebay.com/?_mwBanner=1,Ebay,,10072.768
https://www.ebs.in/IPS/,EBS,,19809.041
https://www.flipkart.com/big-wing-casuals/p/itmemeageyfn6m9z,Flipkart,,7513.325
http://mobile.francetvinfo.fr/#xtref=acc_dir,France TV Info,,7536.039
https://housing.com/in/buy/real-estate-hyderabad,Housing ,,4088.018
https://inbox.google.com/,Inbox (logged in),,18400.677
http://www.livenation.com/,Live nation,,11043.025
https://www.nasa.gov/,Nasa,,17477.633
http://www.npr.org/,NPR,,17431.49
http://www.ted.com/,TED,,11588.523
http://www.thestar.com.my/,TheStar,,36777.822
https://travis-ci.org/GoogleChrome/lighthouse/branches,Travis branch page,,12464.191
https://mobile.twitter.com/,Twitter (Logged in),,6395.476
http://www.vevo.com/,Vevo,,19323.986
https://vine.co/,Vine,,10565.777
https://weather.com/,Weather,,12869.886
https://en.m.wikipedia.org/wiki/Solo_Foods,Wikipedia article,,4481.431
https://www.yahoo.com/,Yahoo,,17237.363
https://www.yahoo.com/news/were-top-10-most-visited-us-national-parks-105323727.html?ref=gs,Yahoo news post,,7470.541
